epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4227,0.70319,5.1343,1.07736,0.91352,0.85,0.94956,0.83245,0.48047,2.75815,0.88547,0.00022,0.00022,0.00022
2,32.5535,0.6412,1.69968,1.0049,0.91616,0.8,0.90287,0.66749,0.80609,1.90386,1.12552,0.00045241,0.00045241,0.00045241
3,37.5737,0.68653,1.10146,0.98958,0.85956,0.75,0.83945,0.56199,0.97081,1.57112,1.22513,0.0006769,0.0006769,0.0006769
4,41.6728,0.68239,0.87798,0.97061,0.68595,0.65,0.67128,0.39067,1.21053,2.0316,1.56524,0.00089347,0.00089347,0.00089347
5,45.831,0.74893,0.81154,1.03083,0.1856,0.1,0.06675,0.02986,2.53929,3.5602,4.0706,0.00110212,0.00110212,0.00110212
6,50.9962,0.79713,0.69697,1.01371,0.00712,0.25,0.00426,0.00174,2.86796,70.1752,5.96806,0.00130285,0.00130285,0.00130285
7,55.3315,0.89539,0.72261,1.06693,0,0,0,0,nan,nan,nan,0.00149566,0.00149566,0.00149566
8,59.4647,0.82365,0.6927,1.05043,0,0,0,0,nan,nan,nan,0.00168055,0.00168055,0.00168055
9,64.2897,0.79679,0.65217,1.04983,0,0,0,0,2.97122,5.34655,3.33291,0.001736,0.001736,0.001736
10,68.3308,0.75575,0.61248,0.99845,0.02193,0.35,0.01166,0.00482,2.90338,12.3741,12.1192,0.001703,0.001703,0.001703
11,72.633,0.80962,0.63847,1.02865,0.00033,0.1,0.00019,8e-05,4.76957,424.732,15.714,0.00167,0.00167,0.00167
12,77.3457,0.75459,0.63975,1.03271,0.10522,0.25,0.06723,0.01708,2.51822,5.9786,4.05055,0.001637,0.001637,0.001637
13,81.386,0.67182,0.56174,0.97245,0.93595,0.05,0.05038,0.03802,2.38817,3.8903,2.55368,0.001604,0.001604,0.001604
